date_frozen,minutes_cold,exposure_temp,acclimation_day_length,acclimation_temp,treatment,acclimation_length_days,slug_number,weight,frozen,scp,bath_temp_at_scp,time_stamp_freeze,time_stamp_end,time_spent_frozen,survival,cold_exposure_begin,cold_exposure_length
Jul 28/2023,35,-6,LD,15,LD15,21,1,0.4538,0,,,,16:22:08,0:00:00,1,15:44:42,0:37:26
Jul 28/2023,35,-6,LD,15,LD15,21,2,0.714,1,-4,-5.58,16:07:47,16:20:46,0:12:59,0,15:44:42,0:36:04
Jul 28/2023,35,-6,LD,15,LD15,21,3,0.4585,0,,,,16:21:01,0:00:00,1,15:44:42,0:36:19
Jul 28/2023,35,-6,LD,15,LD15,21,4,0.9031,1,-6.2,-6.49,16:19:35,16:20:30,0:00:55,0,15:44:42,0:35:48
Jul 28/2023,35,-6,LD,15,LD15,21,5,0.7216,1,-6.5,-6.89,16:20:37,16:21:44,0:01:07,0,15:44:42,0:37:02
Jul 28/2023,35,-6,LD,15,LD15,21,6,0.7432,1,-6.1,-6.85,16:20:21,16:22:36,0:02:15,0,15:44:42,0:37:54
Jul 28/2023,35,-6,LD,15,LD15,21,7,0.7506,0,,,,16:23:15,0:00:00,1,15:44:42,0:38:33
Jul 28/2023,35,-6,LD,15,LD15,21,8,0.4216,0,,,,16:25:14,0:00:00,1,15:44:42,0:40:32
Jul 28/2023,35,-6,LD,15,LD15,21,9,0.4877,1,-5.8,-7.34,16:21:17,16:27:24,0:06:07,0,15:44:42,0:42:42
Jul 28/2023,35,-6,LD,15,LD15,21,10,1.3288,0,,,,16:27:21,0:00:00,1,15:44:42,0:42:39
Jul 28/2023,35,-6,LD,15,LD15,21,11,0.3562,0,,,,16:26:56,0:00:00,1,15:44:42,0:42:14
