sample,group,1-Methylhistidine,2-Hydroxybutyric acid,Acetic acid,Betaine,Acetoacetate,Carnitine,Creatine,Citric acid,Choline,Ethanol,D-Glucose,Glycine,Glycerol,Formate,L-Glutamic acid,Hypoxanthine,Tyrosine,L-Phenylalanine,L-Alanine,L-Proline,L-Threonine,L-Asparagine,Isoleucine,L-Histidine,L-Lysine,L-Serine,L-Lactic acid,Aspartate,L-Ornithine,Pyruvic acid,Succinate,Urea,3-Hydroxybutyric acid,L-Arginine,Creatinine,L-Glutamine,L-Leucine,Malonate,Methionine,Isopropyl alcohol,Valine,Tryptophan,Acetone,Isobutyric acid,Methanol,Propylene glycol,Dimethyl sulfone
A6,LD20,631,781,200.7,1864.8,201.6,285.1,128.1,167,132.9,475.1,17282.2,818.8,3938.5,515.3,5708.2,2.9,11.9,145.9,133.8,2052.9,318.3,627.3,652.3,559.3,1168.9,2145.9,26,535.8,458.1,76.1,159.3,5056.7,404.8,1786.3,16.5,1141.8,1383.4,0,439.3,96.2,232.8,159.7,59.8,17.2,1792,1.9,110.7
A7,LD20,417.7,159.9,127.3,1318,9.6,50.3,33.6,37.2,15.3,42.9,2820.6,75.3,1095,610.1,766.6,1.1,2.8,21.9,68.5,422.5,74.4,198.8,25.3,383.1,82.6,1727,83.2,274.6,120.2,18.7,25.2,1775.9,44.3,631.9,44.3,5180.5,104.9,26.6,12.3,8.9,35.5,23.5,18.7,11.7,12.7,0,9.7
A9,LD20,1074.1,572.2,134.5,3039.3,148.8,681.2,175.9,192,69.9,247.1,15407.5,9.3,2366.3,269.9,3435.9,3.1,0,55.3,61.6,1740.5,302.3,684.7,442.6,0,43.8,2742.1,31.7,822.8,264.6,17.5,78.8,3609.5,215,1509.9,20.9,1103.5,842.2,725.4,301.2,64.5,245.3,30.7,44.7,16.1,2868,0.4,83.2
A12,LD20,301.9,744.3,212.2,5937.9,91.4,0,185.7,154.2,152.9,319.7,17018.7,567.4,1769.8,797.7,3477,0.7,21.5,138.2,451.2,1824.5,650.2,0,576.1,756.8,568,5312.5,416.6,468.5,483.7,44.4,504.5,3796.7,281.6,1291.9,164.5,1068.4,1118.8,99.1,763.5,67.6,247.8,140.6,22.2,0,29.3,0,54.3
A13,LD20,342.8,354,145.8,3194.3,31.8,29.8,123.7,79.6,94.4,126.7,8908.1,265.9,1472.7,660.5,2239.5,0.3,4.5,63.5,67.1,1041.3,297.7,189.8,89.5,309.1,280,2649.1,86.2,398.1,332.5,2.8,83,2602.5,155.9,733.3,125.7,1647.6,405.7,89.7,88.6,27.3,93.5,57,28.2,20.4,59.7,0.6,30.1
A14,LD20,160.8,339.8,89.5,2358.9,47.4,168,219.7,62,65.2,202.4,10255,692.3,3420.2,322.9,1573,0.8,0,43.6,20.3,618.6,340.9,805.9,179.4,268.4,208,1264.8,0,380.4,340.9,35,30.9,9428.8,154,709.8,58.3,440.4,436.3,854.1,366.6,38.8,96.8,53.2,23.2,13,1121.9,0,226.6
A8,LD20,295.6,793,117.5,3935.1,57.1,137.8,180.4,109.6,26.8,219.7,5169.5,215.9,1820.5,686.3,4740.9,0.7,9,70.6,603.5,1110.9,574.2,559.6,382,506.7,358,3662.9,947.7,701.8,601,70.4,621.5,6451.1,244.1,1224.3,259.8,6419.7,867.4,118.1,163.3,43.2,273.1,99.2,28.3,42.9,25.3,0,44.1
A11,LD20,215.8,332.4,102.5,1303.2,15.2,154.3,57.8,78.5,54.5,149.1,7973.4,381.6,3089.4,453.5,1984.1,2.3,6.2,11.6,114,306.9,223.6,107.9,61.2,354.6,88.5,1345,158.7,816.4,43.3,0,42.2,18144.2,87.8,954.2,6.2,3623.9,125.5,62.3,85.2,20.7,35.4,19.8,30.2,21.1,808.5,0,64.7
A10,LD20,658.1,320.1,63.6,1141,40.1,144.9,143.2,86.2,48.7,153.1,5600.5,372.4,2125.5,291.9,1391.1,2.4,6.8,13.6,68.1,369.9,186.4,171.7,67,545.2,111.4,688.1,43.6,274.2,16.1,0,31.5,9106.3,120.3,833.4,106.7,2576.1,170.4,102.5,78.4,22,32.6,26.3,33.4,15.3,689,3.1,55.5
A26,LD20,312.7,508.5,53.9,2457.7,130.3,284.7,101.3,185.6,191.5,281.8,18612.8,1610.4,6837,141.5,2893,3.3,5.3,52.6,30.7,980.2,247.5,573.5,194.3,17.8,154.5,2326.1,50.8,750.8,79.3,60,24.7,23263.1,296.7,1533.5,36.3,356,593.4,326.2,233.4,54.9,67.9,56.1,22.6,14.9,2967.7,0,259.5
